,Topic,Count,Name,Representation,Representative_Docs
0,0,61255,0_market_growth_global_industry,"['market', 'growth', 'global', 'industry', 'more', 'power', 'manufacturing', 're', 'energy', 'company']","['the end of 202 1 , the market in the region is expected', 'with the market growth', 'the growth of the market .']"
1,1,8575,1_technology_manufacturing_company_companies,"['technology', 'manufacturing', 'company', 'companies', 'business', 'new', 'industry', 'trade', 'up', 'global']","['the impact of the [] - [] trade war', 'to be the major hind rance for the growth of the global industry 5 . 0 market during the forecast period .', 'the [] one of the only car manufacturers in the world']"
2,2,8437,2_fight_president_war_government,"['fight', 'president', 'war', 'government', 'last', 'year', 'team', 'countries', 're', 'first']","['that will power the []', '[] and the []', 'the u . s . []']"
3,3,4396,3_safety_customers_business_innovation,"['safety', 'customers', 'business', 'innovation', 'customer', 'services', 'quality', 'market', 'service', 'competitive']","['to increase the lifetime performance of the system .', 'the central ity of the auto industry to the [] ’ s economy', 'to achieve the long - term development of the business .']"
4,4,4026,4_shares_share_market_investment,"['shares', 'share', 'market', 'investment', 'sanctions', 'year', 'sales', 'company', 'stock', 'percent']","['as ia [] is expected to be the fastest - growing region in the [] market during the forecast period .', 'to see the local markets in the []', 'the [] market']"
5,5,2114,5_conductor_semi_equipment_manufacturing,"['conductor', 'semi', 'equipment', 'manufacturing', 'industry', 'silicon', 'bide', 'production', 'market', 'global']","['the growth of the semi conductor production equipment market', 'the semi conductor [] market', 'the global semi conductor industry']"
6,6,2048,6_production_manufacturing_efficiency_applications,"['production', 'manufacturing', 'efficiency', 'applications', 'energy', 'more', 'productivity', 'customers', 'security', 'costs']","['to manage the life cycle of the', 'to positively impact the growth of the global market .', 'to make the network']"
7,7,1993,7_robotic_robots_robot_industrial,"['robotic', 'robots', 'robot', 'industrial', 'market', 'autonomous', 'mobile', 'jobs', 'customer', 'automation']","['the growth of the smart robots market .', 'the high growth of the robotic and automation industry', 'the growth of the robotic s market in the healthcare industry']"
8,8,1928,8_electric_vehicles_vehicle_cars,"['electric', 'vehicles', 'vehicle', 'cars', 'efficiency', 'car', 'productivity', 'energy', 'auto', 'makers']","['the surge in the sales of electric vehicles', 'the growth of the electric commercial vehicle market .', 'the electric vehicles are new to the market']"
9,9,1907,9_energy_sales_vert_storage,"['energy', 'sales', 'vert', 'storage', 'renewable', 'emissions', 'power', 'industry', 'business', 'companies']","['the industry .', 'on the [] ’ s energy', 'the growth of the industry']"
