Date,Order,F-Ind-R2,S-Ind_R2,F-Ind-R3,S-Ind-R3,F-Ind-R1,S-Ind-R1,F-Ind-R4,S-Ind-R4,F-Ind-R5,S-Ind-R5,F-Ind-R6,S-Ind-R6,F-Ind-R7,S-Ind-R7,F-ProdClass1-R1,S-ProdClass1-R1,F-ProdClass2-R1,S-ProdClass2-R1,F-ProdClass3-R1,S-ProdClass3-R1,F-ProdClass4,F-ProdClass5-R1,S-ProdClass5-R1,F-ProdClass6,F-ProdClass7,F-ProdClass8,F-ProdClass9,F-ProdClass10,S-ProdClass10,F-ProdClass11,S-ProdClass11,F-ProdClass12,S-ProdClass12,F-ProdClass13-R2,S-ProdClass13-R2,F-ProdClass13-R3,S-ProdClass13-R3,S-Eco1-R3,S-Eco1-R1,IDBD_Machine Tool,IDBD_Ind Machine,IDBD_Dedicated Machine
1/4/2018 0:00,583.28,4719,1.49,156,1.29,1408,1.02,351,0.72,214,1.64,53,1.2,7027,1.3,38,0.98,112,1.09,62,0.87,30,48075,1,3904,10658,14699,20000,58817,0.93,68510,1.36,94553,1.14,19171,1.23,27731,1.34,56.2,0.99,,,
1/5/2018 0:00,622.86,3853,1.06,135,1.15,975,0.88,383,0.72,164,1.27,81,1.19,5693,1.01,36,1.03,104,1.13,61,0.99,29,49444,1,3682,10144,13789,19306,56499,0.99,62898,1.23,86346,1.1,19476,1.14,25682,1.24,55.5,0.97,,,
1/6/2018 0:00,601.85,3288,0.87,140,1.05,1086,0.95,287,0.51,118,0.79,62,1.08,5051,0.85,40,1.04,113,1.02,80,1.03,32,45533,1,3790,10821,14184,22831,62491,0.96,62980,1.15,96313,1.09,21421,1.19,28551,1.28,54.9,0.96,,,
1/7/2018 0:00,567.52,1923,0.51,104,0.61,981,0.79,273,0.42,97,0.89,77,1.18,3544,0.58,43,1.09,105,0.97,75,0.95,31,47593,1,3797,10330,15129,21433,59653,0.94,67433,1.22,83702,1.07,21535,1.18,25913,1.17,55.1,0.97,,,
1/8/2018 0:00,579.05,1636,0.45,99,0.67,947,0.85,234,0.43,42,0.34,58,1.78,3111,0.55,39,1.06,102,1.05,72,0.96,29,48047,1,3537,9984,14281,21569,57556,0.98,62372,1.2,78019,0.95,17853,1.19,25048,1.09,54.6,0.95,,,
1/9/2018 0:00,612.18,2104,0.54,113,0.42,1045,0.88,200,0.3,115,0.59,39,0.87,3719,0.58,38,0.91,101,0.87,79,0.94,29,48097,1,3566,9884,14474,22776,60149,0.94,64412,1.06,89042,1.01,20172,0.9,32823,1.27,53.2,0.92,,,
1/10/2018 0:00,682.03,1313,0.38,96,0.55,883,0.66,268,0.38,72,0.53,30,0.5,2772,0.46,42,1.03,106,0.95,82,1.02,30,46488,1,3834,10622,15969,23162,64835,1.04,57655,1.02,81964,0.98,22654,1.08,26559,1.16,52,0.89,,,
1/11/2018 0:00,654.41,1162,0.34,149,0.77,775,0.63,338,0.49,86,0.56,25,0.41,2647,0.45,43,1.04,98,0.85,76,0.99,26,46864,1,3722,9900,14748,21626,61523,1,57576,1.06,74029,0.71,18302,0.93,26127,1.02,51.8,0.86,,,
1/12/2018 0:00,546.35,1682,0.49,122,0.65,778,0.59,356,0.87,66,0.47,33,0.74,3160,0.56,40,0.97,92,0.82,73,1.02,26,44146,1,3387,9126,13937,21206,58490,0.94,57152,0.9,78370,0.76,19369,0.92,27198,1.03,51.4,0.85,,,
1/1/2019 0:00,571.21,1519,0.49,126,0.84,862,0.82,364,1.11,103,1.08,18,0.27,3075,0.64,37,0.9,89,0.84,66,0.96,23,45591,1,3225,8823,13056,18325,53506,0.89,46772,0.84,78629,0.8,19379,0.9,24595,1.05,50.5,0.85,,,
